"Timestamp","Species Name","Date Identified (year)","Natural Host(s)","Experimental Host(s)","Host Environment","Host Life Stage during Infection","Site of Infection","Transmission","Spore Length Average (µm)","Spore Width Average (µm)","Calculated Volume (µm³) (see methods)","Spore Shape (Class; Condition)","Locality","Nucleus","Measured Polar Tubule Length Max (μm)","Measured Polar Tubule Length Min (μm)","Measured Polar Tubule (μm)","Calculated Polar Tubule (μm) (see methods)","Polar Tubule Coils Range","Polar Tubule Coils Average","18S Accession #","Has the genome been sequenced?","Important Remarks","References"
,"Amblyospora chulymia",2012,"Ochlerotatus caspius",,,"larva","Adipose in larvae","horizontal","5.9 ± 0.6 um (fixed)",4.7,"68.2411520225019 (fixed)","Broadly ovoid","(pool in Tomsk region, Western Siberia) Russia",1,,,,169.8030829,"4 prox., 7.5 distal",11.5,"JF826405",,,"Andreadis TG, Simakova AV, Vossbrinck CR, Shepard JJ, Yurchenko YA. Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Journal of Invertebrate Pathology. Elsevier; 2012;109:59–75."
,"Amblyospora cinerei",1994,"Aedes cinereus","Acanthocyclops vernalis",,"larva","fat body","both","6.8 ± 0.6 (meiospore, live); 5.9 ± 0.6 (meiospore, preserved)","4.9 ± 0.4 (meiospore, live); 4.4 ± 0.7 (meiospore, preserved)","85.4869248943831 (meiospore, live)","cordiform in sagittal section (meiospore); broadly rounded posterior (meiospore)","U.S.A. (A temporary vernal pool in Cornwall, Connecticut; Hamden, Connecticut; Granby, Connecticut; Voluntown, Connecticut; Nevada)",1,,,,"215.51325603626 (meiospore, live)","3 - 4.5 (broad proximal coils); 9.5 - 11 (narrow distal coils)","14 (4 broad proximal, 10 narrow distal)","AY090057",,,"Andreadis TG. Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. J Eukaryotic Microbiology. 1994;41:147–54."
,"Amblyospora coluzzii",1981,"Anopheles gambiae",,,,,,3.5,2.7,13.35962276,"Oval","Nigeria",1,,,,,,,,,,"Weiser, J., and S. Prasertphon. “Four New Microsporidia Found in the Mosquitoes Anopheles Gambiae and Culex Pipiens Quinquefasciatus from Nigeria.” Folia Parasitologica 28 (1981): 291–301."
,"Amblyospora connecticus","1988; 1990","Aedes cantator; Acanthocyclops vernalis (intermediate host)",,,"larva; adult",,,8.5,3.1,42.77016598,"elongate","U.S.A. (Connecticut)",2,,,,92.51990365,"9 - 10",9.5,"AF025685",,,"1. Andreadis, Theodore G. “Amblyospora Connecticus Sp. Nov. (Microsporida: Amblyosporidae): Horizontal Transmission Studies in the Mosquito Aedes Cantator and Formal Description.” Journal of Invertebrate Pathology 52, no. 1 (July 1988): 90–101. https://doi.org/10.1016/0022-2011(88)90107-3
 2. Sweeney AW, Doggett SL, Piper RG. Life cycle of Amblyospora indicola (Microspora: Amblyosporidae), a parasite of the mosquito Culex sitiens and of Apocyclops sp. Copepods. J Invertebr Pathol. 1990;55:428–34."
,"Amblyospora conopsa",1992,"Aedes sticticus (type host); Aedes flavescens",,,"larva","fat body","horizontal",6.2,3.8,46.87675118,"egg-shaped","Ukraine (Kiev)",1,,,,131.3185729,,11,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Amblyospora criniferis",1994,"Aedes crinifer (= Ochlerotatus crinifer)",,,"larva","fat body","both","4.6 ± 0.2 (meiospore, fresh); 4.2 ± 0.5 (meiospore, fixed)","3.6 ± 0.2 (meiospore, fresh); 3.5 ± 0.2 (meiospore, fixed)","31.2148646060682 (meiospore, fresh)","short ovoid (meiospore, fresh); broadly rounded posterior (meiospore, fresh); collapsed (meiospore, stained)","Argentina (Punta Lara, Buenos Aires)",1,,,,"56.5486677646163 (meiospore, fresh)","1- 3 (broad proximal coils); 2 - 4 (narrow distal coils)","5 (2 broad proximal, 3 narrow distal)","AY090061",,,"Garcia JJ, Becnel JJ. Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). J Invertebr Pathol. 1994;64:243–52."
,"Amblyospora dakarensis",1997,"Culex tritaeniorhynchus",,,"larva","fat body","horizontal","8.57 ± 0.61 (meiospores, fresh); 12.3 (macrospores); 12 (elongated spores); 15 (pyriform spores)","6.6 ± 0.55 (meiospores, fresh); 8.1 (macrospores); 6.6 (elongated spores); 9 (pyriform spores)","195.46424003958 (meiospores, fresh); 422.545782704154 (macrospores); 273.695551980743 (elongated spores); 636.172512351933 (pyriform spores)","ovoid (meiospores, macrospores); elongated; pyriform","Senegal","1 (meiospores); 2 (macrospores); 2 (elongated spores); 2 (pyriform spores)",,,,"151.361934049956 (meiospores, fresh); 178.128303458541 (macrospores); 186.610603623234 (elongated spores); 197.920337176157 (pyriform spores)","7 - 7.5 (meiospores, 4 broad proximal, 3 - 3.5 narrow distal); 7 (macrospores and pyriform spores); 9 (elongated spores)","7.3 (meiospores); 7 (macrospores); 9 (elongated spores); 7 (pyriform spores)",,,,"Diarra K, Toguebaye BS. Amblyospora dakarensis sp. n. (Microspora, Amblyosporidae), parasite of Culex tritaeniorhynchus (Diptera, Culicidae): Ultrastructure of the octosporous phase of the life cycle with particular reference to unusual sporogony. Zool Beitr. 1997;31:11–23."
,"Amblyospora dissimilis",1995,"Aedes cantans (type host); Aedes cyprius; Aedes behningi; Aedes excrucians; Aedes vexans; Culiseta annulata; Culex territans",,,"larva","fat body; oenocytes","horizontal","6.5 (live)","4.55 (live)","70.4587237368546 (live)","egg-shaped","Ukraine (Chernigovsk region)",,70,60,65,"107.206849303752 (live)","7 - 8",7.5,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Amblyospora dolosi","1994; 1998","Culex dolosus; Metacyclops mendocinus (intermediate host)",,,"larva","fat body (of Culex dolosus); ovary (of Metacyclops mendocinus)","both","9.3 ± 0.3 (meiospore of Culex dolosus, fresh); 11.6 (macrospore of Culex dolosus, fresh); 8.8 ± 0.4 (meiospore of Culex dolosus, fixed); 14.3 ± 0.6 (in Metacyclops mendocinus, fresh); 12 ± 0.5 (in Metacyclops mendocinus, stained)","5.4 ± 0.3 (meiospore of Culex dolosus, fresh); 5.8 (macrospore of Culex dolosus, fresh); 4.9 ± 0.3 (meiospore of Culex dolosus, fixed); 3.8 ± 0.2 (in Metacyclops mendocinus, fresh); 3.3 ± 0.5 (in Metacyclops mendocinus, stained)","141.993704756951 (meiospore of Culex dolosus, fresh); 204.320808609071 (macrospore of Culex dolosus, fresh); 108.118958370844 (in Metacyclops mendocinus, fresh)","ovoid (meiospore of Culex dolosus, fresh); attenuated anteriorly (meiospore of Culex dolosus, fresh); broadly rounded posterior (meiospore of Culex dolosus, fresh); collapsed (meiospore of Culex dolosus, stained); lanceolate (in Metacyclops mendocinus); curved (in Metacyclops mendocinus)","Argentina (Punta Lara, Buenos Aires)","1 (meiospore of Culex dolosus); 1 (macrospore of Culex dolosus); 1 (in Metacyclops mendocinus)",,,,"169.646003293849 (meiospore of Culex dolosus, fresh); 149.225651045515 (in Metacyclops mendocinus, fresh)","12 - 13 (in Metacyclops mendocinus)","10 (meiospore of Culex dolosus, 4 broad proximal, 6 narrow distal); 12.5 (in Metacyclops mendocinus)",,,,"1. Garcia JJ, Becnel JJ. Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). J Invertebr Pathol. 1994;64:243–52.
 2. Micieli MV, Garcia JJ, Becnel JJ. Horizontal Transmission of Amblyospora dolosi (Microsporidia: Amblyosporidae) to the Copepod Metacyclops mendocinus (Wierzejski, 1892). J Invertebr Pathol. 1998;72:330–5."
,"Amblyospora dyxenoides","1988; 1990","Culex annulirostris; Mesocyclops sp. (intermediate host); Mesocyclops albicans (intermediate host)",,,"larva (of Culex annulirostris); adult (females if in Culex annulirostris)",,"horizontal","5.4 ± 0.4 (meiospores in Culex annulirostris larva, stained); 9.6 ± 0.9 (binucleate spores in adult female Culex annulirostris, stained); 11.3 ± 3.1 (uninucleate spores in Mesocyclops sp., stained)","4 ± 0.3 (meiospores in Culex annulirostris larva, stained); 3.1 ± 0.4 (binucleate spores in adult female Culex annulirostris, stained); 3.9 ± 0.8 (uninucleate spores in Mesocyclops sp., stained)","45.238934211693 (meiospores in Culex annulirostris larva, stained); 48.3051286415967 (binucleate spores in adult female Culex annulirostris, stained); 89.9924923584064 (uninucleate spores in Mesocyclops sp., stained)",,"Australia","1 (meiospores in Culex annulirostris larva); 2 (binucleate spores in adult female Culex annulirostris); 1 (uninucleate spores in Mesocyclops sp.)",,,,,,,,,,"1. Sweeney AW, Doggett SL, Piper RG. Host specificity studies of Amblyospora indicola and Amblyospora dyxenoides (Microspora: Amblyosporidae) in mosquitoes and copepods. J Invertebr Pathol. 1990;56:415–8.
 2. Sweeney AW, Doggett SL, Piper RG. Life cycle of Amblyospora indicola (Microspora: Amblyosporidae), a parasite of the mosquito Culex sitiens and of Apocyclops sp. Copepods. J Invertebr Pathol. 1990;55:428–34."
,"Amblyospora egypti",1991,"Culex pipiens",,,"larva; adult","fat body","horizontal",,,,,"Egypt",1,,,,,"6 - 8 (3 - 4 broad coils, 3 - 4 narrow coils)",7,,,,"Darwish A, Canning EU. A light- and electron-microscopic study of Amblyospora egypti n.sp. infecting Culex pipiens in Egypt. European Journal of Protistology. 1991;26:236–44."
,"Amblyospora excrucii",1994,"Aedes excrucians",,,"larva (mostly males)","fat body","both","6.8 ± 0.3 (meiospore, live); 6.3 ± 0.8 (meiospore, preserved)","4.8 ± 0.2 (meiospore, live); 5.2 ± 1 (meiospore, preserved)","82.0332673705367 (meiospore, live)","cordiform in sagittal section (meiospore); broadly rounded posterior (meiospore)","U.S.A. (A temporary vernal pool in Hamden, Connecticut; Granby, Connecticut; Alaska)",1,,,,"196.035381584003 (meiospore, live)","3 - 3.5 (broad proximal coils); 8.5 - 11 (narrow distal coils)","13 (3 broad proximal, 10 narrow distal)","AY090044",,,"Andreadis TG. Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. J Eukaryotic Microbiology. 1994;41:147–54."
,"Amblyospora ferocis (Amblyospora ferocious)",1994,"Psorophora ferox (= Janthinosoma ferox)",,,"larva","fat body","both","5.6 ± 0.2 (meiospore, fresh); 5.4 ± 0.4 (meiospore, fixed)","4.1 ± 0.2 (meiospore, fresh); 4 ± 0.2 (meiospore, fixed)","49.2894943397214 (meiospore, fresh)","ovoid (meiospore, fresh); attenuated anteriorly (meiospore, fresh); broadly rounded posterior (meiospore, fresh); collapsed (meiospore, stained)","Argentina (Punta Lara, Buenos Aires)",1,,,,"103.044239037745 (meiospore, fresh)","3 - 5 (large broad proximal); 3 - 5 (small narrow distal coils)","8 (4 large broad proximal, 3 small narrow distal)",,,,"Garcia JJ, Becnel JJ. Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). J Invertebr Pathol. 1994;64:243–52."
,"Amblyospora firma",1996,"Aedes punctor",,,"larva","fat body","horizontal",6.97,4.9,87.62409802,"ellipsoidal","Ukraine",1,,,,177.028746,"10 - 13",11.5,,,,"Kilochitskii, P. Ya. “New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs.” Hydrobiological Journal 34 (1998): 195–211."
,"Amblyospora flavescens",2005,"Aedes sp. (1); Culex sp. (2)",,,,"adipose","horizontal","6.31 ± 0.1 um (fixed)","4.24 ± 0.1 um (fixed)","59.3963413871166 (fixed)","egg-shaped","Siberia",,,,,"139.863704937818 (fixed)",2022-10-11,10.5,,,,"1. Simakova AV, Pankova TF. Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia. Parazitologiya. 2005;39:371–85."
,"Amblyospora gigantea","1962; 1975","Culex erythrothorax",,,"larva","hemocoel; fat body (?)","horizontal","8.10 (fresh); 6.69 (stained)","5.48 (fresh); 5.18 (stained)","127.36343343289 (fresh)",,"U.S.A. (California)",,,,,,,,,,,"1. Thelohania gigantea K. & W., 1962, J. Insect Pathol., 4, 46, Figs. 2, 16-21
 2. Amblyospora gigantea (K. & W., 1962) H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 25 [see this reference for fuller synonymy]"
,"Amblyospora hristinia",2012,"Ochlerotatus communis",,,"larva","Adipose in larvae","horizontal","6.8 ± 0.6 um (fixed)","5.1 ± 0.5 um (fixed)","92.6078682425199 (fixed)","broadly ovoid","(pool near the village of Ursk, Komerovo region, Western Siberia) Russia",1,,,,"256.353960532927 (fixed)","3 prox., 13 distal",16,"JF826407",,,"Andreadis TG, Simakova AV, Vossbrinck CR, Shepard JJ, Yurchenko YA. Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Journal of Invertebrate Pathology. Elsevier; 2012;109:59–75."
,"Amblyospora indicola","1984; 1990","Culex sitiens; Apocyclops sp. (intermediate host)",,,"larva (of Culex sitiens); adult (mostly females in Culex sitiens)","fat body (of Culex sitiens larva); ovary (Apocyclops sp.)","both","5.2 ± 0.4 (meiospores in Culex sitiens larva, stained); 9.6 ± 1.2 (binucleate spores in adult female Culex sitiens, stained); 12.4 ± 3.8 (uninucleate spores in Apocyclops sp., stained)","4 ± 0.4 (meiospores in Culex sitiens larva, stained); 3.3 ± 0.3 (binucleate spores in adult female Culex sitiens, stained); 3.8 ± 0.7 (uninucleate spores in Apocyclops sp., stained)","43.5634181297785 (meiospores in Culex sitiens larva, stained); 54.7391103961485 (binucleate spores in adult female Culex sitiens, stained); 93.753502363529 (uninucleate spores in Apocyclops sp., stained)",,"Australia; India (Pondicherry)","1 (meiospores in Culex sitiens larva; 2 (binucleate spores in adult female Culex sitiens); 1 (uninucleate spores in Apocyclops sp.)",,,,,,,"AY090051",,,"1. Sweeney AW, Doggett SL, Piper RG. Host specificity studies of Amblyospora indicola and Amblyospora dyxenoides (Microspora: Amblyosporidae) in mosquitoes and copepods. J Invertebr Pathol. 1990;56:415–8.
 2. Sweeney AW, Doggett SL, Piper RG. Life cycle of Amblyospora indicola (Microspora: Amblyosporidae), a parasite of the mosquito Culex sitiens and of Apocyclops sp. Copepods. J Invertebr Pathol. 1990;55:428–34."
,"Amblyospora indubitantis",1994,"Mansonia indubitans (= Mansonia indubitans)",,,"larva","fat body","both","8.9 ± 0.3 (meiospore, fresh); 8.1 ± 0.5 (meiospore, fixed)","7.2 ± 0.4 (meiospore, fresh); 6.8 ± 0.4 (meiospore, fixed)","241.575908690441 (meiospore, fresh)","ovoid (meiospore, fresh); attenuated anteriorly (meiospore, fresh); broadly rounded posterior (meiospore, fresh); collapsed (meiospore, stained)","Argentina (Punta Lara, Buenos Aires)",1,,,,"192.265470399695 (meiospore, fresh)","3 - 5 (broad proximal); 3 - 5 (narrow distal coils)","8.5 (4 broad proximal, 4.5 narrow distal)",,,,"Garcia JJ, Becnel JJ. Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). J Invertebr Pathol. 1994;64:243–52."
,"Amblyospora inimica","1962; 1975","Culiseta inornata",,,"larva","hemocoel; fat body (?)","horizontal","5.73 (fresh); 5.43 (stained)","3.92 (fresh); 4.11 (stained)","46.1025957312767 (fresh)",,"U.S.A. (California)",,,,,,,,,,,"1. Thelohania inimica K. & W., 1962, J. Insect Pathol., 4, 53, Figs. 7, 46-51
 2. Amblyospora inimica (K. & W., 1962) H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 26 [see this reference for fuller synonymy]"
,"Amblyospora jurginia",2012,"Ochlerotatus excrucians",,,"larva","Adipose in larvae","horizontal","5.3 ± 0.5 um (fixed)","3.8 ± 0.4 (fixed)","40.072061494089 (fixed)","broadly ovoid","(pool in Tomsk region, Western Siberia) Russia",1,,,,"95.5044166691297 (fixed)","3 prox., 5 distal",8,"JF826408",,,"Andreadis TG, Simakova AV, Vossbrinck CR, Shepard JJ, Yurchenko YA. Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Journal of Invertebrate Pathology. Elsevier; 2012;109:59–75."
,"Amblyospora kadunae",1981,"Culex pipiens quinquefasciatus",,,"larva",,,4,2.65,14.70788961,"Oval","Nigeria",1,,,,,,,,,,"Weiser, J., and S. Prasertphon. “Four New Microsporidia Found in the Mosquitoes Anopheles Gambiae and Culex Pipiens Quinquefasciatus from Nigeria.” Folia Parasitologica 28 (1981): 291–301."
,"Amblyospora kazankia",2012,"Ochlerotatus dianaetus",,,"larva","Adipose in larvae","horizontal","5.1 ± 0.04 (fixed)","3.5 ± 0.03 (fixed)","32.7118335055037 (fixed)","broadly ovoid","(pool near the village of Kolarovo, Tomsk region, Western Siberia) Russia",1,,,,"153.9380400259 (fixed)","5 prox., 9 distal",14,"JF826409",,,"Andreadis TG, Simakova AV, Vossbrinck CR, Shepard JJ, Yurchenko YA. Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Journal of Invertebrate Pathology. Elsevier; 2012;109:59–75."
,"Amblyospora keenani",1975,"Aedeomyia squamipennis",,,"larva","adipose tissue","horizontal","4.19 (fresh, normal spores); 3.03 (preserved, normal spores); 4.96 (macrospores)","3 (fresh, normal spores); 2.23 (preserved, normal spores); 2.49 (macrospores)","19.7449098278119 (fresh, normal spores); 16.1019692521916 (macrospores)",,"Panama canal zone",,,,,,,"8 (unclear spore class)",,,,"Amblyospora keenani H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 28, Figs. 21-24"
,"Amblyospora khaliulini",1975,"Aedes communis (= A. nemorosus)",,,"larva","haemolymph; adipose tissue","horizontal","6.66 (live, from H & O)","4.5 (live, from H & O)","70.6151488710646 (live, from H & O)","truncate at both ends; posterior end invaginated; oval","Canada (Manitoba); Czechoslovakia; Germany; U.S.A. (Alaska, Massachusetts); U.S.S.R. (Mari ASSR)",,,,,"49.4800842940392 (live, from H & O)",,3.5,,,,"1. Thelohania sp. Noller, 1920, Arch. Protistenkd., 41, 187 [fide Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 158, 207]. Kudo, loco cit., Fig. 558.
 2. Thelohania sp. Welch, 1960, J. Insect Pathol., 2, 386, Figs. 1, 2
 3. Thelohania opacita var. mariensis Khaliulin & Ivanov, 1971, Parasitologiya, 5, 100, Figs. 1-3
 4. Amblyospora khaliulini H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 30, Figs. 25, 26 [see this reference for more extensive synonymy]"
,"Amblyospora kolarovi",2005,"Aedes sp. (1); Culex sp. (2)",,,,"adipose","horizontal","5.5 um (fixed)","3.85 um (fixed)","42.6857356821818 (fixed)","egg-shaped","Siberia",,,,,"145.141580595848 (fixed)",2022-11-13,12,,,,"1. Simakova AV, Pankova TF. Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia. Parazitologiya. 2005;39:371–85."
,"Amblyospora lairdi","1965; 1975","Polycentropus flavomaculatus",,,"larva","fat body","horizontal",,,,,"Czechoslovakia (River Doubravka near Bilke, Southeast Bohemia)",,,,,,,,,,,"1. Thelohania lairdi Weiser, 1965, Zool. Anz., 175, 232, Figs. 1, 2D-0
 2. Amblyospora lairdi (Weiser, 1965) H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 32"
,"Amblyospora macrococcus","1979; 1991","Corynoneura sp.",,,"larva","fat body","horizontal",,,,,,,,,,,"7 - 8 (3 anterior wider coils and 4-5 posterior narrower coils)",7.5,,,,"Voronin V. THE ULTRASTRUCTURE OF 2 MICROSPORIDIAN SPECIES OF THE GENUS AMBLYOSPORA (MICROSPORIDIA, AMBLYOSPORIDAE) FROM THE MIDGE LARVAE (DIPTERA, CHIRONOMIDAE). Tsitologiya. 1991;33:67-."
